geo_value,time_value,viral_activity_level,viral_activity_level_num,viral_activity_level_cat,geo_res
Northwest,2022-01-09,23.743825156258428,5.0,very high,region
Northwest,2022-01-16,12.231119167435818,5.0,very high,region
Northwest,2022-01-23,6.278420228868817,4.0,high,region
Northwest,2022-01-30,3.389533709787389,3.0,moderate,region
Northwest,2022-02-06,2.070807926574886,2.0,low,region
Northwest,2022-02-13,2.1633523559263086,2.0,low,region
Northwest,2022-02-20,1.7886213495848842,2.0,low,region
Northwest,2022-02-27,0.7806163544352327,1.0,minimal,region
Northwest,2022-03-06,0.983526150221922,1.0,minimal,region
Northwest,2022-03-13,0.5835868461727585,1.0,minimal,region
Northwest,2022-03-20,1.1334504655164224,1.0,minimal,region
Northwest,2022-03-27,0.4170071344871844,1.0,minimal,region
Northwest,2022-04-03,0.6936424405058713,1.0,minimal,region
Northwest,2022-04-10,1.3349082804154395,1.0,minimal,region
Northwest,2022-04-17,1.975974280096328,2.0,low,region
Northwest,2022-04-24,0.7426106348396644,1.0,minimal,region
Northwest,2022-05-01,1.4073087582984072,1.0,minimal,region
Northwest,2022-05-08,1.8975748550754736,2.0,low,region
Northwest,2022-05-15,2.648559226274892,2.0,low,region
Northwest,2022-05-22,2.5447848243217264,2.0,low,region
Northwest,2022-05-29,2.984271667912356,2.0,low,region
Northwest,2022-06-05,3.1742276685752757,3.0,moderate,region
Northwest,2022-06-12,2.4942620972845617,2.0,low,region
Northwest,2022-06-19,1.7693119581315135,2.0,low,region
Northwest,2022-06-26,2.5568104801638945,2.0,low,region
Northwest,2022-07-03,8.38936760238356,5.0,very high,region
Northwest,2022-07-10,3.253965640403665,3.0,moderate,region
Northwest,2022-07-17,6.311418812309848,4.0,high,region
Northwest,2022-07-24,3.8521811247334337,3.0,moderate,region
Northwest,2022-07-31,5.527959341807596,4.0,high,region
Northwest,2022-08-07,2.784524760728968,2.0,low,region
Northwest,2022-08-14,3.2292985842504485,3.0,moderate,region
Northwest,2022-08-21,8.691253618848044,5.0,very high,region
Northwest,2022-08-28,7.302547250607505,4.0,high,region
Northwest,2022-09-04,6.26285145466269,4.0,high,region
Northwest,2022-09-11,7.548781188552685,4.0,high,region
Northwest,2022-09-18,3.766495886736725,3.0,moderate,region
Northwest,2022-09-25,1.988383240636016,2.0,low,region
Northwest,2022-10-02,2.548868346514688,2.0,low,region
Northwest,2022-10-09,2.8038067375737614,2.0,low,region
Northwest,2022-10-16,3.713885407448759,3.0,moderate,region
Northwest,2022-10-23,4.08986466229062,3.0,moderate,region
Northwest,2022-10-30,2.542789159556453,2.0,low,region
Northwest,2022-11-06,1.5914745770022205,2.0,low,region
Northwest,2022-11-13,2.5878685603934755,2.0,low,region
Northwest,2022-11-20,4.3110187786074565,3.0,moderate,region
Northwest,2022-11-27,5.484164029271906,4.0,high,region
Northwest,2022-12-04,4.72119038591931,4.0,high,region
Northwest,2022-12-11,4.585592372843979,4.0,high,region
Northwest,2022-12-18,3.672682323602038,3.0,moderate,region
Northwest,2022-12-25,7.032908150657055,4.0,high,region
Northwest,2023-01-01,8.05851115045889,5.0,very high,region
Northwest,2023-01-08,9.752903135400071,5.0,very high,region
Northwest,2023-01-15,4.285432180992512,3.0,moderate,region
Northwest,2023-01-22,1.9356705653317192,2.0,low,region
Northwest,2023-01-29,4.2118801103983134,3.0,moderate,region
Northwest,2023-02-05,8.431452540442967,5.0,very high,region
Northwest,2023-02-12,3.2303417959509844,3.0,moderate,region
Northwest,2023-02-19,1.6385781920799978,2.0,low,region
Northwest,2023-02-26,0.3183239013902538,1.0,minimal,region
Northwest,2023-03-05,0.3775909371892301,1.0,minimal,region
Northwest,2023-03-12,1.655328088532893,2.0,low,region
Northwest,2023-03-19,1.1732384335281458,1.0,minimal,region
Northwest,2023-03-26,0.8768882792666095,1.0,minimal,region
Northwest,2023-04-02,0.6087963116501115,1.0,minimal,region
Northwest,2023-04-09,0.9282282123426744,1.0,minimal,region
Northwest,2023-04-16,0.2920989124931983,1.0,minimal,region
Northwest,2023-04-23,0.4276529874523831,1.0,minimal,region
Northwest,2023-04-30,0.7674379819372418,1.0,minimal,region
Northwest,2023-05-07,0.2986878913837377,1.0,minimal,region
Northwest,2023-05-14,0.2514621385951632,1.0,minimal,region
Northwest,2023-05-21,0.3176695425170824,1.0,minimal,region
Northwest,2023-05-28,0.1421634228399036,1.0,minimal,region
Northwest,2023-06-04,0.1175777759153391,1.0,minimal,region
Northwest,2023-06-11,0.1124019772331139,1.0,minimal,region
Northwest,2023-06-18,0.2472347358529528,1.0,minimal,region
Northwest,2023-06-25,0.2195645572994495,1.0,minimal,region
Northwest,2023-07-02,0.6797722263876066,1.0,minimal,region
Northwest,2023-07-09,1.857288940515627,2.0,low,region
Northwest,2023-07-16,1.164907189884086,1.0,minimal,region
Northwest,2023-07-23,2.335630991360824,2.0,low,region
Northwest,2023-07-30,3.9552082675966624,3.0,moderate,region
Northwest,2023-08-06,2.0444589779342266,2.0,low,region
Northwest,2023-08-13,3.4833360425180806,3.0,moderate,region
Northwest,2023-08-20,4.2660312922132135,3.0,moderate,region
Northwest,2023-08-27,2.365413701601755,2.0,low,region
Northwest,2023-09-03,2.8549544366346296,2.0,low,region
Northwest,2023-09-10,0.9683018836677384,1.0,minimal,region
Northwest,2023-09-17,1.7401021350724613,2.0,low,region
Northwest,2023-09-24,1.4624071676380908,1.0,minimal,region
Northwest,2023-10-01,1.5378549588899957,2.0,low,region
